client_id,product_id,timestamp
197,16,2017-03-09T11:28:58.907349
136,16,2017-03-21T13:30:31.934349
204,21,2017-03-25T01:25:46.294066
131,22,2017-03-26T03:41:34.627030
193,20,2017-03-28T21:33:01.685548
206,21,2017-03-31T23:22:36.219530
121,11,2017-04-13T04:44:55.371405
233,18,2017-04-23T02:12:50.815946
185,15,2017-04-25T00:47:46.139458
174,19,2017-05-02T18:56:51.826974
209,13,2017-05-17T17:31:02.632500
209,11,2017-05-21T08:25:24.287911
176,21,2017-05-22T19:19:59.505434
203,18,2017-05-25T01:46:34.757185
230,21,2017-05-28T08:16:31.669782
131,15,2017-05-30T12:20:47.532911
121,22,2017-06-01T20:45:38.993630
215,23,2017-06-04T05:47:34.034437
112,21,2017-06-04T23:56:38.091726
185,11,2017-06-09T14:41:16.276669
203,16,2017-06-12T03:52:59.543434
192,13,2017-06-14T12:07:02.760995
166,10,2017-06-18T08:31:07.270001
116,23,2017-06-27T18:19:52.648988
155,19,2017-06-27T23:21:09.504313
121,21,2017-06-29T23:26:05.248518
141,11,2017-07-05T20:16:42.187339
183,17,2017-07-06T17:36:16.202955
176,16,2017-07-08T08:44:36.947792
174,16,2017-07-10T05:18:16.186023
151,17,2017-07-16T10:30:22.132331
106,18,2017-07-27T12:33:57.638562
129,19,2017-07-30T01:15:00.250134
177,14,2017-07-31T00:39:34.105685
141,19,2017-08-09T09:01:13.363457
185,18,2017-08-17T19:42:42.216871
117,14,2017-08-18T17:50:01.122568
233,17,2017-08-27T21:24:27.648967
155,23,2017-08-31T18:41:28.146959
183,10,2017-09-07T01:00:45.169935
105,10,2017-09-12T16:41:02.098023
197,20,2017-09-17T01:45:45.931522
119,12,2017-09-17T07:41:57.280829
203,14,2017-09-21T16:19:15.886023
150,18,2017-09-23T15:58:47.657935
216,12,2017-09-25T22:56:25.141793
150,15,2017-09-26T22:28:37.393968
136,17,2017-09-30T12:18:20.503832
137,21,2017-10-10T12:03:04.417037
145,10,2017-10-11T11:31:27.039317
106,16,2017-10-17T16:20:39.208416
151,15,2017-10-17T22:05:58.917962
217,13,2017-10-18T20:09:08.189020
154,21,2017-11-07T20:39:30.131463
153,22,2017-11-15T14:03:21.158682
230,16,2017-12-16T01:33:37.479954
196,10,2017-12-20T09:27:09.019751
125,15,2018-01-15T08:15:36.878543
155,18,2018-01-27T02:07:24.337349
117,10,2018-02-02T21:48:01.886671
210,13,2018-02-04T21:38:19.022290
109,19,2018-02-06T23:26:58.890140
111,13,2018-03-20T10:34:07.423626
196,20,2018-03-25T15:33:03.986097
145,15,2018-04-09T09:31:21.619764
109,14,2018-04-14T16:29:21.149774
152,10,2018-04-21T16:53:35.675685
125,20,2018-05-02T09:43:50.062001
191,14,2018-05-07T23:18:34.317156
119,10,2018-05-08T10:46:07.648934
210,14,2018-05-10T21:06:21.151420
145,16,2018-05-12T04:26:07.967552
139,22,2018-05-19T03:50:18.737892
182,15,2018-05-21T01:36:46.705594
215,12,2018-06-12T18:41:02.158457
210,16,2018-06-23T03:00:40.316232
170,23,2018-07-19T08:52:35.431349
152,16,2018-08-05T06:26:39.234721
106,13,2018-08-10T10:41:27.546571
182,18,2018-08-14T14:15:35.121328
177,19,2018-08-22T15:35:58.670682
129,13,2018-08-26T03:40:09.430135
184,23,2018-08-28T22:25:12.720016
117,20,2018-08-29T14:29:32.716355
170,14,2018-08-31T15:42:16.793493
204,17,2018-09-02T00:10:39.796279
121,10,2018-09-08T23:13:39.045990
109,10,2018-09-10T16:10:14.416218
131,16,2018-09-24T17:58:38.768373
136,20,2018-09-27T17:09:05.942837
128,13,2018-09-29T02:35:31.305426
117,23,2018-09-29T23:00:21.382285
196,11,2018-10-02T19:44:30.538258
206,13,2018-10-03T06:09:37.029517
192,10,2018-10-04T10:26:55.273075
174,18,2018-10-11T11:08:46.833359
230,14,2018-10-22T02:23:08.336264
226,10,2018-10-30T08:28:27.842878
176,11,2018-11-14T20:45:40.746942
119,18,2018-11-21T02:53:21.884615
233,10,2018-11-22T20:08:10.792260
226,19,2018-11-28T05:21:41.260229
154,20,2018-11-30T06:51:42.509408
221,16,2018-12-05T03:10:34.634726
127,16,2018-12-05T09:03:23.844161
221,13,2018-12-22T19:42:27.396913
177,16,2018-12-24T07:30:43.944857
116,22,2018-12-27T08:23:38.473749
152,21,2018-12-30T01:06:46.214604
196,12,2019-01-10T02:02:49.361744
166,17,2019-01-12T22:21:37.238315
176,14,2019-01-15T18:14:19.178067
221,10,2019-01-16T22:11:44.171770
121,16,2019-01-27T07:19:14.858405
150,10,2019-02-02T15:27:55.543382
197,10,2019-02-04T00:16:04.108644
131,21,2019-02-13T21:59:27.124951
145,14,2019-02-20T08:56:18.338753
117,22,2019-02-22T19:02:18.297581
197,17,2019-03-02T22:38:26.226824
177,11,2019-03-03T00:05:46.005821
191,17,2019-03-13T06:49:43.725512
136,18,2019-03-26T19:31:27.676201
125,21,2019-03-29T06:31:35.366611
180,18,2019-03-29T17:10:19.048764
174,20,2019-04-02T23:35:04.057293
203,12,2019-04-05T15:31:27.276862
127,12,2019-04-12T07:25:07.577380
197,13,2019-04-15T07:07:50.167618
176,20,2019-04-16T01:43:17.305755
151,23,2019-04-21T17:44:18.701094
210,23,2019-04-30T16:17:38.818386
116,20,2019-05-03T04:03:44.147023
197,19,2019-05-03T19:52:53.131977
153,20,2019-05-06T15:23:32.067748
211,22,2019-05-16T18:53:12.018431
206,15,2019-05-28T09:51:28.734707
183,16,2019-05-29T01:20:36.272508
196,14,2019-05-29T16:24:59.572532
193,11,2019-05-31T03:21:35.097254
109,11,2019-06-03T19:43:03.361477
182,20,2019-06-11T15:02:24.818771
